name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Ay işığı Ailəvi İstirahət Kompleksi,"Çobanzadə küçəsi, 24 /05. Nizami r-nu. 2405-ci məhəllə",012 4222726; 012 4215650,Avropa; Azərbaycan,Restoranlar,24 saat,,,"Sizin xidmətinizə 250-600 nəfərik restoranda qeyri-adi 2 zal, 20 evli istirahət zonası, 60-70 nəfərlik ayrı banket zalı və gözəl 700 nəfərlik yay meydançası təqdim edilir. · Korporativ banketlər –“açarlı” · Toy şənlikləri · 10-20 nəfərlik ailə bayramları · Manqal - zona, çayxana, bar · 700 nəfərlik yay meydançası · İsveçrə stollu yay verandası · Milli və Avropa mətbəxi · VVAQ xidməti · Masa sifarişi",https://www.facebook.com/pages/Ay-i%C5%9F%C4%B1%C4%9F%C4%B1-Ail%C9%99vi-%C4%B0stirah%C9%99t-Kompleksi/354370754628437?sk=timeline,,,,,40.40542,49.930201,https://bakuguide.com/images/places/12/ay-isigi-ailevi-istirahet-kompleksi-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/12-ay-isigi-ailevi-istirahet-kompleksi
İpək Yolu restoranı,"Ziya Bünyadov prospekti, 7 A,  3076-cı məhəllə",012  4411048; 012 4627106,,Restoranlar,,,,,,,,,,,,https://bakuguide.com/images/places/16/ipek-yolu-restorani-1.jpg; https://bakuguide.com/images/places/16/ipek-yolu-restorani-2.jpg; https://bakuguide.com/images/places/16/ipek-yolu-restorani-3.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/16-ipek-yolu-restorani
İstanbul balıkçısı,Namiq Quliyev Küçəsi 46,012 4989598; 050 2274411,,Restoranlar,,,,"Balıq sevərlərin 1 nömrəli məkanı olan İstanbul balıqçısı hər gün səhər saat 10-dan etibarən xidmətinizdədir. Karadeniz bölgəsinin ən ləziz yeməyi olan ""Hamsi"" yeməyini burada dada bilərsiniz. Özünüzü İstanbulda balıq yeyirmişsiniz kimi hiss edəcəksiniz.",https://www.facebook.com/istanbulbalikchisi/timeline,,,,,40.3049354,49.8224777,https://bakuguide.com/images/places/17/istanbul-balikcisi-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/17-istanbul-balikcisi
Çanaqqala restoranlar,"Azərbaycan, Bakı şəhəri. Nərimanov rayonu.Təbriz küçəsi 35",012 4962585; 050 7230000,Avropa; Azərbaycan; Türk,Restoranlar,10:00-01:00,20-30,Canlı musiqi; VİP otaq; Park xidməti,"Şəhərin ən görkəmli yerində yaradılmış bu restoran həmişə öz qonaqlarını ləziz təamları ilə valeh etmişdir. Bura təşrif buyuran hər bir müştəriyə əla servis və yüksək keyfiyyətli xidmət göstərilir. Axşam saatlarında buraya gələn insanlar həzin musiqinin sədaları altında rəqs edir və rəngarəng şou proqrmlarına qulaq asırlar. Qonaqlar bizim restoranda Azərbaycan,Türk və Avropa mətbəxinin ləziz təamlarını dada bilərlər.",https://www.facebook.com/pages/Chanaqqala-Restaurant/237750223001155,,,,,40.3918312,49.8557922,https://bakuguide.com/images/places/18/canaqqala-restoranlar-1.png; https://bakuguide.com/images/places/18/canaqqala-restoranlar-2.png; https://bakuguide.com/images/places/18/canaqqala-restoranlar-3.png; https://bakuguide.com/images/places/18/canaqqala-restoranlar-4.png; https://bakuguide.com/images/places/18/canaqqala-restoranlar-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/18-canaqqala-restoranlar
CHiNAR,"Şövkət Ələkbərova küç., 1  (Azneft)",012 4658486; 050 3512000,Çin; Dəniz; Yapon,Restoranlar,12:00 - 01:00,,Banketlərin qəbulu; Canlı musiqi; İçkilər; Park xidməti,"Çinar lap qədimdən Bakının simvolu sayılıb. Bütün vacib görüşlər bu ağacın ətrafında keçirilib. İndi Çinar adı ilə Bakıda bir sıra müəssisələr, restoranlar fəaliyyət göstərir Çinarın arxitekturasinda Londonun blue sky hospitaly şirkəti də çalışıb əvvəl yalnız çay evi kimi fəaliyyət göstərən Çinar, get-gedə öz fəaliyyətini genişləndirməkdədir.",https://www.facebook.com/CHINARBAKU/timeline,,,http://4sq.com/aNgfyp,,40.360534,49.832957,https://bakuguide.com/images/places/19/cinar-restoran-1.jpg; https://bakuguide.com/images/places/19/cinar-restoran-2.jpg; https://bakuguide.com/images/places/19/cinar-restoran-3.jpg; https://bakuguide.com/images/places/19/cinar-restoran-4.jpg; https://bakuguide.com/images/places/19/cinar-restoran-5.jpg; https://bakuguide.com/images/places/19/cinar-restoran-6.jpg; https://bakuguide.com/images/places/19/cinar-restoran-7.jpg; https://bakuguide.com/images/places/19/cinar-restoran-8.jpg; https://bakuguide.com/images/places/19/cinar-restoran-9.jpg; https://bakuguide.com/images/places/19/cinar-restoran-10.jpg; https://bakuguide.com/images/places/19/cinar-restoran-11.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/19-chinar
Büyükfırat Lahmacun - 1,"Firudin Ağayev küçəsi, 14 D Yasamal",012 4397080; 012 4390699,Türk,Restoranlar,24 saat,,,"Büyükfırat Qrup, 1996-ci ildə Hüseyn Büyükfırat tərəfindən Bakı şəhərində restoran və iaşə sektorunda xidmət vermək məqsədi ilə qurulmuşdur. Hal-hazırda Bakı şəhərində 8 ayrı bölgədə kafe-restoran və Gəncə şəhərində Aura Park ticarət mərkəzində fast food və şəhərin mərkəzində 3 mərtəbəli restoran-əyləncə mərkəzi ilə xidmətlərinə davam etməkdədir. Büyükfırat Restaurantı yüksək keyfiyyətli məhsulları, gigiyenik qaydalara riyayət etməsi və yüksək səviyyədə xidmətləri ilə seçilir.",/cdn-cgi/l/email-protection#2e474048416e4c5b575b4548475c4f5a004d4143,,,http://4sq.com/rd3pFH,,40.375099,49.815218,https://bakuguide.com/images/places/22/buyukfirat-lahmacun-1-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/22-buyukfirat-lahmacun-1
Büyükfırat Lahmacun - 2,"Şəmsi Bədəlbəyli küçəsi, 106",012 4931493,Türk,Restoranlar,24 saat,,,"Büyükfırat Qrup, 1996-ci ildə Hüseyn Büyükfırat tərəfindən Bakı şəhərində restoran və iaşə sektorunda xidmət vermək məqsədi ilə qurulmuşdur. Hal-hazırda Bakı şəhərində 8 ayrı bölgədə kafe-restoran və Gəncə şəhərində Aura Park ticarət mərkəzində fast food və şəhərin mərkəzində 3 mərtəbəli restoran-əyləncə mərkəzi ilə xidmətlərinə davam etməkdədir. Büyükfırat Restaurantı yüksək keyfiyyətli məhsulları, gigiyenik qaydalara riyayət etməsi və yüksək səviyyədə xidmətləri ilə seçilir.",https://www.facebook.com/pages/Buyuk-Firat-28-May/248573328575199?fref=ts,,,,,40.3771447,49.8406284,https://bakuguide.com/images/places/23/buyukfirat-lahmacun-2-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/23-buyukfirat-lahmacun-2
Büyükfırat Lahmacun - 3,"Xaqani küçəsi, 1, ""XAQANİ"" Ticarət Mərkəzi",012 4988181,Fast food; Türk,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/24-buyukfirat-lahmacun-3
Beyrut restoranı,"Y.Məmmədəliyev küç.,23A",012 4933433,Livan,Restoranlar,11:00 - 01:00,,Banketlərin qəbulu; Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Take Away,"Bakıda yerləşən Livan restoranı, əsil qurmanların yolunu gözləyir! Beyrutda olmaq hər kəsə qismət olmur, lakin bizim restorana gələrək, siz milli delikatesləri və yeməkləri elə bu gün dada bilərsiz.",,,,,,40.370941,49.839091,https://bakuguide.com/images/places/25/beyrut-restorani-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/25-beyrut-restorani
Jasmine & Siam Thai Restaurant,"Bakıxanov küçəsi, 6 /Bridge Plaza",012 4045404; 050 3615404,Avropa; Çin; Tailand; Yapon,Restoranlar,12:00 - 23:00,35-40,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Sigaret çəkməyən və çəkənlər üçün masalar; Sushi bar,"Jasmine & Siam Thai - şəhəriin qayğı və səs -küyü arasında əsl rahatlıq adasıdır. Sizə şərqin ən yaxşı ənənənlərinin qeyri -adiliyini təqdim edirik. Çinin məmnunedici, qonaqpərvər və zərifliyi isti, əfsanəvi atmosfer yaradır, aşpazlarımızın kulinariya şedevrləri isə hətta ən tələbkar qurmanlarımızı laqeyd qalmağa qoymayacaq.",https://www.facebook.com/Jasmine.Restaurant/timeline,,,,,40.38704,49.829194,https://bakuguide.com/images/places/29/casmine-chinese-restaurant-siam-thai-restaurant-1.jpg; https://bakuguide.com/images/places/29/casmine-chinese-restaurant-siam-thai-restaurant-2.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/29-jasmine-siam-thai-restaurant
Caviar Restaurant,"Tbilisi prospekti, 1025 / 30",012 4907090,Beynəlmiləl,Restoranlar,07:00-23:00,40-45,Biznes lanç; İçkilər; Wi-Fi; Kredit kartla ödəniş; Take Away; Sigaret çəkməyən və çəkənlər üçün masalar; Sərbəst Wi-Fi,"Grand Hotel Europe - da yerləşən özünəməxsus üslublu ""Caviar"" restoranı gözəl axşam keçirməyə və baş aşpazın eksklüziv yeməklərindən dadmağa sizi dəvət edir. Geniş zal dəbdəbəli mərasimlərin üçün -toy, ad günləri və ya korporativ şənliklərin keçirilməsi üçün uyğundur. Maşın saxlamaq üçün böyük sahə şəxsi nəqliyyatınızı yaxınlıqda saxlamağa şərait yaradacaq və siz restoranın mehriban atmosferindən həzz alacaqsınız.",,,,,,40.3925675,49.820235,https://bakuguide.com/images/places/30/caviar-restaurant-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/30-caviar-restaurant
Yolki Palki,"Mərdanov Qardaşları küç., 15",012 5942492,Rus,Restoranlar,12:00 - 00:00,,,Yolki Palki kafesində siz əsl Rus və İsrail yeməklərinin dadına baxıb pianonun ifasından ləzzət alacaqsınız. Həmçinin siz burda müxtəlif banketlər də keçirə bilərsiniz. Daimi müstərilər üçün müxtəlif endirimlər də mövcuddur.,https://www.facebook.com/pages/Yolki-Palki-%D0%81%D0%BB%D0%BA%D0%B8-%D0%9F%D0%B0%D0%BB%D0%BA%D0%B8/570287446412790?sk=timeline,,,http://4sq.com/Nq0IzZ,,40.374982,49.839424,https://bakuguide.com/images/places/32/yolki-palki-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/32-yolki-palki
Avto Retro Club,"Biləcəri qəsəbəsi, M.Hüseynzadə 12",012 4475424; 070 2210132,Avropa; Azərbaycan; Gürcü,Restoranlar,09:00 - 00:00,,,"Qədimi avtomobillərin restavrasiyası və nadir ehtiyat hissələrinin sifarişi ilə məşqul olmaqdan əlavə , fərqli xeyir işlərinə və digər məclislərə avtomobillərin icarəyə verilməsiylə məşqul olan Avto Retro Klub daim öz müştərilərinə yüksək səviyyədə xidmət göstərməyə hazırdır . Həmçinin Klubun nəznində restoran yerləşir , təkrarolunmaz dizaynı ilə seçilən mənzərə hər bir müştərinin füsünkar gözəlliyə malik bir məkan kimi yaddaşlarına həkk olunur .",https://www.facebook.com/pages/%D0%90%D0%B2%D1%82%D0%BE-%D0%A0%D0%B5%D1%82%D1%80%D0%BE-%D0%9A%D0%BB%D1%83%D0%B1-Avto-Retro-Klub/1530004160557265?sk=timeline,,,http://4sq.com/1vOMPj2,,40.4235264,49.9898692,https://bakuguide.com/images/places/37/avto-retro-club-1.png; https://bakuguide.com/images/places/37/avto-retro-club-2.png; https://bakuguide.com/images/places/37/avto-retro-club-3.png; https://bakuguide.com/images/places/37/avto-retro-club-4.png; https://bakuguide.com/images/places/37/avto-retro-club-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/37-avto-retro-club
Şaurma №1,"Mərdanov qardaşları küçəsi 18, Nəsimi r-nu",012 4933306; 012 4981232; 051 9112222; 051 911 22 11,Avropa; Azərbaycan,Restoranlar,10:00-00:00,9-15,Banketlərin qəbulu; Fon musiqisi; İçkilər; Masaların sifarişi,"Burada siz sadəcə Şaruma ilə yanaşı müxtəlif kokteillər, şirniyyatlar, pizza və lahmacun da sifariş edə bilərsiniz.",https://www.facebook.com/shaurmano1/timeline,,,,,40.374777,49.831801,https://bakuguide.com/images/places/39/saurma-1-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/39-saurma-1
Şuşa restoranı,"Təbriz küçəsi, 35",012 4962885,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/40-susa-restorani
Baku Caz Mərkəzi,"Rəşid Behbudov küçəsi, 19",012 4936196; 012 4939003,Avropa,Restoranlar,19:00 - 00:00,,Canlı musiqi,"Professional xidmət və təcrübəli personalımız sizin üçün rahat, sərbəst və isti mühit yaradacaqlar. Müasir üslubda bəzədilmiş geniş və gözəl zal sizə banket, korporativ tədbirlər və təqdimat mərasimləri keçirmək imkanı verəcək. Əgər siz gözəl dincəlmək, xoş gecə keçirmək və əsl cazdan həzz almaq istəyirsinizsə, Bakı Caz Mərkəzi sizi gözləyir.",https://www.facebook.com/pages/Baku-Jazz-Center/133139486739393?sk=timeline,,,http://4sq.com/dagwaA,,40.377227,49.844581,https://bakuguide.com/images/places/41/baku-caz-merkezi-1.png; https://bakuguide.com/images/places/41/baku-caz-merkezi-2.png; https://bakuguide.com/images/places/41/baku-caz-merkezi-3.png; https://bakuguide.com/images/places/41/baku-caz-merkezi-4.png; https://bakuguide.com/images/places/41/baku-caz-merkezi-5.png; https://bakuguide.com/images/places/41/baku-caz-merkezi-6.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/41-baku-caz-merkezi
Bəh Bəh Club,Nobel prospekti Belinski küç. ilə kəsişməsi,012 4378620; 012 4378620; 050 3232022; 012 4244032,Azərbaycan,Restoranlar,12:00 - 23:30,,İçkilər; Wi-Fi; Masaların sifarişi; Sərbəst Wi-Fi,"Möhtəşəm, təkrarolunmaz mətbəxi ilə ""Bəh-bəh club"", demək olar, 15 ildir ki, şöhrət qazanmışdır. Burada həmişə azərbaycan kulinariya incəsənətinin ən yaxşı ustaları çalışmışlar və onlar artıq gənc, gələcəyi parlaq olan aşbazlar yetişdirmişlər.",https://www.facebook.com/BahBahclub,,,http://4sq.com/dzplfN,,40.379444,49.8827013,https://bakuguide.com/images/places/42/beh-beh-club-1.png; https://bakuguide.com/images/places/42/beh-beh-club-2.png; https://bakuguide.com/images/places/42/beh-beh-club-3.png; https://bakuguide.com/images/places/42/beh-beh-club-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/42-beh-beh-club
Dolce Vita,fransa,012 4800624; 070 3288828,,Restoranlar,10:00-19:00,,Çatdırılma,Vitaminlərlə zəngin olan Dolce Vitanı siz də dadın. Dolce Vita həm də istəyinizə uyğun dizayn ilə sevginizi ifadə etməyin ən ləzzətli yoludur.,https://www.facebook.com/DolceVita.az/timeline,,https://twitter.com/DolceVita_Baku,,,,,https://bakuguide.com/images/places/45/dolce-vita-1.png; https://bakuguide.com/images/places/45/dolce-vita-2.png; https://bakuguide.com/images/places/45/dolce-vita-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/45-dolce-vita
East Legend Panorama Hotel & Restaurant,"Bayıl qəs., Xanlar küç. 38",012 4916717; 055 2088335,Avropa; Azərbaycan,Restoranlar,11:00-00:00,30-80,Wi-Fi; Masaların sifarişi; Sərbəst Wi-Fi,"Səhər yeməyi çörəyin bir neçə növündən, pendir, yağ, kolbasa, bal, cem, zeytun, pomidor, xiyar, təzə meyvələr, pirojna, ev şəraitində bişirilmiş tort, meyvə şirələri, yoqurt ( şirin, şirin olmayan), çay, kofe, süd, hər növ omlet. Dəniz mənzərəsi olan bağlı restoran. Terrasda açıq restoran.",https://www.facebook.com/east.legend?fref=ts,,,http://4sq.com/WnswKS,,40.441385,49.86991,https://bakuguide.com/images/places/48/east-legend-panorama-hotel-restaurant-1.png; https://bakuguide.com/images/places/48/east-legend-panorama-hotel-restaurant-2.png; https://bakuguide.com/images/places/48/east-legend-panorama-hotel-restaurant-3.png; https://bakuguide.com/images/places/48/east-legend-panorama-hotel-restaurant-4.png; https://bakuguide.com/images/places/48/east-legend-panorama-hotel-restaurant-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/48-east-legend-panorama-hotel-restaurant
Bakı Əyləncə Mərkəzi (BƏM),"Fəzail Bayramov küç., 1130/33",012 4902222; 055 6500243,Avropa; Azərbaycan,Restoranlar,19:00-24:00,25-30,Canlı musiqi; Fon musiqisi; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Sərbəst Wi-Fi,Bakı Əyləncə Mərkəzi sizlərin yolunu gözləyir.,,,,,,40.3848457,49.8670872,https://bakuguide.com/images/places/50/baki-eylence-merkezi-bem-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/50-baki-eylence-merkezi-bem
